Title,Profile Applicability,Description,Rationale,Audit,Remediation,References,L1,L2,SL1,SL2,BL,index,title,Automation,PK
1.1.1.1 Ensure cramfs kernel module is not available (Automated),"•  Level 1 - Server  
•  Level 1 - Workstation","The cramfs  filesystem type is a compressed read -only Linux filesystem embedded in 
small footprint systems. A cramfs  image can be used without having to first decompress 
the image.","Removing support for unneeded filesystem types reduces the local attack surface of the 
system. If this filesystem type is not needed, disable it.","Run the following script to verify the cramfs  module is disabled:  
-IF- the module is available in the running kernel:  
• An entry including /bin/true  or /bin/false  exists in a file within the 
/etc/modprobe.d/  directory  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
• The module is not loaded in the kernel  
-IF- available in ANY installed kernel:  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
-IF- the kernel module is not available on the system, or pre -compiled into the kernel:  
• No additional configuration is necessary   
Internal Only - General  #!/usr/bin/env bash","Run the following script to disable the cramfs  module:  
-IF- the module is available in the running kernel:  
• Create a file ending in .conf  with install cramfs /bin/false  in the 
/etc/modprobe.d/  directory  
• Create a file ending in .conf  with blacklist cramfs  in the /etc/modprobe.d/  
directory  
• Unload cramfs  from the kernel  
-IF- available in ANY installed kernel:  
• Create a file ending in .conf  with blacklist cramfs  in the /etc/modprobe.d/  
directory  
-IF- the kernel module is not available on the system or pre -compiled into the kernel:  
• No remediation is necessary   
Internal Only - General  #!/usr/bin/env bash",1. NIST SP 800 -53 Rev. 5: CM -7,TRUE,FALSE,TRUE,FALSE,FALSE,1.1.1.1,Ensure cramfs kernel module is not available,TRUE,1
" 1.1.1.2 Ensure freevxfs kernel module is not available 
(Automated)","•  Level 1 - Server  
•  Level 1 - Workstation","The freevxfs  filesystem type is a free version of the Veritas type filesystem. This is the 
primary filesystem type for HP -UX operating systems.","Removing support for unneeded filesystem types reduces the local attack surface of the 
system. If this filesystem type is not needed, disable it.","Run the following script to verify the freevxfs  module is disabled:  
-IF- the module is available in the running kernel:  
• An entry including /bin/true  or /bin/false  exists in a file within the 
/etc/modprobe.d/  directory  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
• The module is not loaded in the kernel  
-IF- available in ANY installed kernel:  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
-IF- the kernel module is not available on the system, or pre -compiled into the kernel:  
• No additional configuration is necessary   
Internal Only - General  #!/usr/bin/env bash","Run the following script to disable the freevxfs  module:  
-IF- the module is available in the running kernel:  
• Create a file ending in .conf  with install freevxfs /bin/false  in the 
/etc/modprobe.d/  directory  
• Create a file ending in .conf  with blacklist freevxfs  in the /etc/modprobe.d/  
directory  
• Unload freevxfs  from the kernel  
-IF- available in ANY installed kernel:  
• Create a file ending in .conf  with blacklist freevxfs  in the /etc/modprobe.d/  
directory  
-IF- the kernel module is not available on the system or pre -compiled into the kernel:  
• No remediation is necessary   
Internal Only - General  #!/usr/bin/env bash",1. NIST SP 800 -53 Rev. 5: CM -7,TRUE,FALSE,TRUE,FALSE,FALSE,1.1.1.2,Ensure freevxfs kernel module is not available,TRUE,2
1.1.1.3 Ensure hfs kernel module is not available (Automated),"•  Level 1 - Server  
•  Level 1 - Workstation","The hfs filesystem type is a hierarchical filesystem that allows you to mount Mac OS 
filesystems.","Removing support for unneeded filesystem types reduces the local attack surface of the 
system. If this filesystem type is not needed, disable it.","Run the following script to verify the hfs module is disabled:  
-IF- the module is available in the running kernel:  
• An entry including /bin/true  or /bin/false  exists in a file within the 
/etc/modprobe.d/  directory  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
• The module is not loaded in the kernel  
-IF- available in ANY installed kernel:  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
-IF- the kernel module is not available on the system, or pre -compiled into the kernel:  
• No additional configuration is necessary   
Internal Only - General  #!/usr/bin/env bash","Run the following script to disable the hfs module:  
-IF- the module is available in the running kernel:  
• Create a file ending in .conf  with install hfs /bin/false  in the 
/etc/modprobe.d/  directory  
• Create a file ending in .conf  with blacklist hfs  in the /etc/modprobe.d/  
directory  
• Unload hfs from the kernel  
-IF- available in ANY installed kernel:  
• Create a file ending in .conf  with blacklist hfs  in the /etc/modprobe.d/  
directory  
-IF- the kernel module is not available on the system or pre -compiled into the kernel:  
• No remediation is necessary   
Internal Only - General  #!/usr/bin/env bash",1. NIST SP 800 -53 Rev. 5: CM -7,TRUE,FALSE,TRUE,FALSE,FALSE,1.1.1.3,Ensure hfs kernel module is not available,TRUE,3
1.1.1.4 Ensure hfsplus kernel module is not available (Automated),"•  Level 1 - Server  
•  Level 1 - Workstation","The hfsplus  filesystem type is a hierarchical filesystem designed to replace hfs that 
allows you to mount Mac OS filesystems.","Removing support for unneeded filesystem types reduces the local attack surface of the 
system. If this filesystem type is not needed, disable it.","Run the following script to verify the hfsplus  module is disabled:  
-IF- the module is available in the running kernel:  
• An entry including /bin/true  or /bin/false  exists in a file within the 
/etc/modprobe.d/  directory  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
• The module is not loaded in the kernel  
-IF- available in ANY installed kernel:  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
-IF- the kernel module is not available on the system, or pre -compiled into the kernel:  
• No additional configuration is necessary   
Internal Only - General  #!/usr/bin/env bash","Run the following script to disable the hfsplus  module:  
-IF- the module is available in the running kernel:  
• Create a file ending in .conf  with install hfsplus /bin/false  in the 
/etc/modprobe.d/  directory  
• Create a file ending in .conf  with blacklist hfsplus  in the /etc/modprobe.d/  
directory  
• Unload hfsplus  from the kernel  
-IF- available in ANY installed kernel:  
• Create a file ending in .conf  with blacklist hfsplus  in the /etc/modprobe.d/  
directory  
-IF- the kernel module is not available on the system or pre -compiled into the kernel:  
• No remediation is necessary   
Internal Only - General  #!/usr/bin/env bash",1. NIST SP 800 -53 Rev. 5: CM -7,TRUE,FALSE,TRUE,FALSE,FALSE,1.1.1.4,Ensure hfsplus kernel module is not available,TRUE,4
1.1.1.5 Ensure jffs2 kernel module is not available (Automated),"•  Level 1 - Server  
•  Level 1 - Workstation","The jffs2  (journaling flash filesystem 2) filesystem type is a log -structured filesystem 
used in flash memory devices.","Removing support for unneeded filesystem types reduces the local attack surface of the 
system. If this filesystem type is not needed, disable it.","Run the following script to verify the jffs2  module is disabled:  
-IF- the module is available in the running kernel:  
• An entry including /bin/true  or /bin/false  exists in a file within the 
/etc/modprobe.d/  directory  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
• The module is not loaded in the kernel  
-IF- available in ANY installed kernel:  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
-IF- the kernel module is not available on the system, or pre -compiled into the kernel:  
• No additional configuration is necessary   
Internal Only - General  #!/usr/bin/env bash","Run the following script to disable the jffs2  module:  
-IF- the module is available in the running kernel:  
• Create a file ending in .conf  with install jffs2 /bin/false  in the 
/etc/modprobe.d/  directory  
• Create a file ending in .conf  with blacklist jffs2  in the /etc/modprobe.d/  
directory  
• Unload jffs2  from the kernel  
-IF- available in ANY installed kernel:  
• Create a file ending in .conf  with blacklist jffs2  in the /etc/modprobe.d/  
directory  
-IF- the kernel module is not available on the system or pre -compiled into the kernel:  
• No remediation is necessary   
Internal Only - General  #!/usr/bin/env bash",1. NIST SP 800 -53 Rev. 5: CM -7,TRUE,FALSE,TRUE,FALSE,FALSE,1.1.1.5,Ensure jffs2 kernel module is not available,TRUE,5
" 1.1.1.6 Ensure squashfs kernel module is not available 
(Automated)","•  Level 2 - Server  
•  Level 2 - Workstation","The squashfs  filesystem type is a compressed read -only Linux filesystem embedded in 
small footprint systems. A squashfs  image can be used without having to first 
decompress the image.","Removing support for unneeded filesystem types reduces the local attack surface of the 
system. If this filesystem type is not needed, disable it.  
Impact:  
As Snap packages utilize squashfs  as a compressed filesystem, disabling squashfs  will 
cause Snap packages to fail.  
Snap application packages of software are self -contained and work across a range of 
Linux distributions. This is unlike traditional Linux package management approaches, 
like APT or RPM, which require specifically adapted packages per Linux distribution on 
an application update and delay therefore application deployment from developers to 
their software's end -user. Snaps themselves have no dependency on any external store 
(""App store""), can be obtained from any source and can be therefore used for upstream 
software deployment.","Run the following script to verify the squashfs  module is disabled:  
-IF- the module is available in the running kernel:  
• An entry including /bin/true  or /bin/false  exists in a file within the 
/etc/modprobe.d/  directory  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
• The module is not loaded in the kernel  
-IF- available in ANY installed kernel:  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
-IF- the kernel module is not available on the system, or pre -compiled into the kernel:  
• No additional configuration is necessary   
Internal Only - General  #!/usr/bin/env bash","Run the following script to disable the squashfs  module:  
-IF- the module is available in the running kernel:  
• Create a file ending in .conf  with install squashfs /bin/false  in the 
/etc/modprobe.d/  directory  
• Create a file ending in .conf  with blacklist squashfs  in the /etc/modprobe.d/  
directory  
• Unload squashfs  from the kernel  
-IF- available in ANY installed kernel:  
• Create a file ending in .conf  with blacklist squashfs  in the /etc/modprobe.d/  
directory  
-IF- the kernel module is not available on the system or pre -compiled into the kernel:  
• No remediation is necessary   
Internal Only - General  #!/usr/bin/env bash",1. NIST SP 800 -53 Rev. 5: CM -7,FALSE,TRUE,TRUE,TRUE,FALSE,1.1.1.6,Ensure squashfs kernel module is not available,TRUE,6
1.1.1.7 Ensure udf kernel module is not available (Automated),"•  Level 2 - Server  
•  Level 2 - Workstation","The udf filesystem type is the universal disk format used to implement ISO/IEC 13346 
and ECMA -167 specifications. This is an open vendor filesystem type for data storage 
on a broad range of media. This filesystem type is necessary to support writing DVDs 
and newe r optical disc formats.","Removing support for unneeded filesystem types reduces the local attack surface of the 
system. If this filesystem type is not needed, disable it.  
Impact:  
Microsoft Azure requires the usage of udf. 
udf should not  be disabled on systems run on Microsoft Azure.","Run the following script to verify the udf module is disabled:  
-IF- the module is available in the running kernel:  
• An entry including /bin/true  or /bin/false  exists in a file within the 
/etc/modprobe.d/  directory  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
• The module is not loaded in the kernel  
-IF- available in ANY installed kernel:  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
-IF- the kernel module is not available on the system, or pre -compiled into the kernel:  
• No additional configuration is necessary   
Internal Only - General  #!/usr/bin/env bash","Run the following script to disable the udf module:  
-IF- the module is available in the running kernel:  
• Create a file ending in .conf  with install udf /bin/false  in the 
/etc/modprobe.d/  directory  
• Create a file ending in .conf  with blacklist udf  in the /etc/modprobe.d/  
directory  
• Unload udf from the kernel  
-IF- available in ANY installed kernel:  
• Create a file ending in .conf  with blacklist udf  in the /etc/modprobe.d/  
directory  
-IF- the kernel module is not available on the system or pre -compiled into the kernel:  
• No remediation is necessary   
Internal Only - General  #!/usr/bin/env bash",1. NIST SP 800 -53 Rev. 5: CM -7,FALSE,TRUE,TRUE,TRUE,FALSE,1.1.1.7,Ensure udf kernel module is not available,TRUE,7
" 1.1.1.8 Ensure usb -storage kernel module is not available 
(Automated)","•  Level 1 - Server  
•  Level 2 - Workstation","USB storage provides a means to transfer and store files ensuring persistence and 
availability of the files independent of network connection status. Its popularity and utility 
has led to USB -based malware being a simple and common means for network 
infiltration and a first step to establishing a persistent threat within a networked 
environment.","Restricting USB access on the system will decrease the physical attack surface for a 
device and diminish the possible vectors to introduce malware.  
Impact:  
Disabling the usb-storage  module will disable any usage of USB storage devices.  
If requirements and local site policy allow the use of such devices, other solutions 
should be configured accordingly instead. One example of a commonly used solution is 
USBGuard .","Run the following script to verify the usb-storage  module is disabled:  
-IF- the module is available in the running kernel:  
• An entry including /bin/true  or /bin/false  exists in a file within the 
/etc/modprobe.d/  directory  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
• The module is not loaded in the kernel  
-IF- available in ANY installed kernel:  
• The module is deny listed in a file within the /etc/modprobe.d/  directory  
-IF- the kernel module is not available on the system or pre -compiled into the kernel:  
• No additional configuration is necessary   
Internal Only - General  #!/usr/bin/env bash","Run the following script to disable the usb-storage  module:  
-IF- the module is available in the running kernel:  
• Create a file ending in .conf  with install usb -storage /bin/false  in the 
/etc/modprobe.d/  directory  
• Create a file ending in .conf  with blacklist usb -storage  in the 
/etc/modprobe.d/  directory  
• Unload usb-storage  from the kernel  
-IF- available in ANY installed kernel:  
• Create a file ending in .conf  with blacklist usb -storage  in the 
/etc/modprobe.d/  directory  
-IF- the kernel module is not available on the system or pre -compiled into the kernel:  
• No remediation is necessary   
Internal Only - General  #!/usr/bin/env bash","1. NIST SP 800 -53 Rev. 5: SI -3 
Additional Information:  
An alternative solution to disabling the usb -storage module may be found in USBGuard.  
Use of USBGuard and construction of USB device policies should be done in alignment 
with site policy.   
Internal Only - General  CIS Controls:  
Controls 
Version  Control  IG 1 IG 2 IG 3 
v8 10.3 Disable Autorun and Autoplay for Removable Media  
 Disable autorun and autoplay auto -execute functionality for removable media.  ● ● ● 
v7 13.7 Manage USB Devices  
 If USB storage devices are required, enterprise software should be used that 
can configure systems to allow the use of specific devices. An inventory of such 
devices should be maintained.   ● ● 
 
MITRE ATT&CK Mappings:  
Techniques / Sub -
techniques  Tactics  Mitigations  
T1052, T1052.001, T1091, 
T1091.000, T1200, 
T1200.000  TA0001, TA0010  M1034  
 
   
Internal Only - General  1.1.2 Configure Filesystem Partitions  
Directories that are used for system -wide functions can be further protected by placing 
them on separate partitions. This provides protection for resource exhaustion and 
enables the use of mounting options that are applicable to the directory's intended us e. 
Users' data can be stored on separate partitions and have stricter mount options. A user 
partition is a filesystem that has been established for use by the users and does not 
contain software for system operations.  
The recommendations in this section are easier to perform during initial system 
installation. If the system is already installed, it is recommended that a full backup be 
performed before repartitioning the system.  
Note:  
-IF- you are repartitioning a system that has already been installed (This may require 
the system to be in single -user mode):  
• Mount the new partition to a temporary mountpoint e.g. mount /dev/sda2 /mnt   
• Copy data from the original partition to the new partition. e.g. cp -a /var/tmp/* 
/mnt  
• Verify that all data is present on the new partition. e.g. ls -la /mnt   
• Unmount the new partition. e.g. umount /mnt   
• Remove the data from the original directory that was in the old partition. e.g. rm -
Rf /var/tmp/*  Otherwise it will still consume space in the old partition that will be 
masked when the new filesystem is mounted.  
• Mount the new partition to the desired mountpoint. e.g. mount /dev/sda2 
/var/tmp   
• Update /etc/fstab  with the new mountpoint. e.g. /dev/sda2 /var/tmp xfs 
defaults,rw,nosuid,nodev,noexec,relatime 0 0",FALSE,TRUE,TRUE,FALSE,FALSE,1.1.1.8,Ensure usb -storage kernel module is not available,TRUE,8
1.1.2.1.1 Ensure /tmp is a separate partition (Automated),"•  Level 1 - Server  
•  Level 1 - Workstation","The /tmp directory is a world -writable directory used for temporary storage by all users 
and some applications.  
- IF - an entry for /tmp exists in /etc/fstab  it will take precedence over entries in 
systemd default unit file.  
Note:  In an environment where the main system is diskless and connected to iSCSI, 
entries in /etc/fstab  may not take precedence.  
/tmp can be configured to use tmpfs . 
tmpfs  puts everything into the kernel internal caches and grows and shrinks to 
accommodate the files it contains and is able to swap unneeded pages out to swap 
space. It has maximum size limits which can be adjusted on the fly via mount -o 
remount . 
Since tmpfs  lives completely in the page cache and on swap, all tmpfs  pages will be 
shown as ""Shmem"" in /proc/meminfo  and ""Shared"" in free. Notice that these counters 
also include shared memory. The most reliable way to get the count is using df and du. 
tmpfs  has three mount options for sizing:  
• size: The limit of allocated bytes for this tmpfs  instance. The default is half of 
your physical RAM without swap. If you oversize your tmpfs  instances the 
machine will deadlock since the OOM handler will not be able to free that 
memory.  
• nr_blocks : The same as size, but in blocks of PAGE_SIZE.  
• nr_inodes : The maximum number of inodes for this instance. The default is half 
of the number of your physical RAM pages, or (on a machine with highmem) the 
number of lowmem RAM pages, whichever is the lower.  
These parameters accept a suffix k, m or g and can be changed on remount. The size 
parameter also accepts a suffix % to limit this tmpfs  instance to that percentage of your 
physical RAM. The default, when neither size nor nr_blocks  is specified, is size=50% .  
Internal Only - General","Making /tmp its own file system allows an administrator to set additional mount options 
such as the noexec  option on the mount, making /tmp useless for an attacker to install 
executable code. It would also prevent an attacker from establishing a hard link to a 
system setuid  program and wait for it to be updated. Once the program was updated, 
the hard link would be broken, and the attacker would have his own copy of the 
program. If the program happened to have a security vulnerability, the attacker could 
continue to exploit the known flaw.  
This can be accomplished by either mounting tmpfs  to /tmp, or creating a separate 
partition for /tmp. 
Impact:  
By design files saved to /tmp should have no expectation of surviving a reboot of the 
system. tmpfs  is ram based and all files stored to tmpfs  will be lost when the system is 
rebooted.  
If files need to be persistent through a reboot, they should be saved to /var/tmp  not 
/tmp. 
Since the /tmp directory is intended to be world -writable, there is a risk of resource 
exhaustion if it is not bound to tmpfs  or a separate partition.  
Running out of /tmp space is a problem regardless of what kind of filesystem lies under 
it, but in a configuration where /tmp is not a separate file system it will essentially have 
the whole disk available, as the default installation only creates a single / partition. On 
the other hand, a RAM -based /tmp (as with tmpfs ) will almost certainly be much 
smaller, which can lead to applications filling up the filesystem much more easily. 
Another alternative is to create a dedicated partition for /tmp from a separate volume or 
disk. One of the downsides of a disk -based dedicated partition is that it will be slower 
than tmpfs  which is RAM -based.  
   
Internal Only - General","Run the following command and verify the output shows that /tmp is mounted. Particular 
requirements pertaining to mount options are covered in ensuing sections.  
# findmnt -kn /tmp 
Example output:  
/tmp   tmpfs  tmpfs  rw,nosuid,nodev,noexec  
Ensure that systemd will mount the /tmp partition at boot time.  
# systemctl is -enabled tmp.mount  
Example output:  
generated  
Verify output is not masked  or disabled . 
Note:  By default, systemd will output generated  if there is an entry in /etc/fstab  for 
/tmp. This just means systemd will use the entry in /etc/fstab  instead of its default unit 
file configuration for /tmp.#!/usr/bin/env bash","First ensure that systemd is correctly configured to ensure that /tmp will be mounted at 
boot time.  
# systemctl unmask tmp.mount  
For specific configuration requirements of the /tmp mount for your environment, modify 
/etc/fstab . 
Example of using tmpfs  with specific mount options:  
tmpfs /tmp tmpfs     defaults,rw,nosuid,nodev,noexec,relatime,size=2G  0 
0 
Note:  the size=2G  is an example of setting a specific size for tmpfs . 
Example of using a volume or disk with specific mount options. The source location of 
the volume or disk will vary depending on your environment:  
<device> /tmp    <fstype>    defaults,nodev,nosuid,noexec   0 0#!/usr/bin/env bash","1. https://www.freedesktop.org/wiki/Software/systemd/APIFileSystems/  
2. https://www.freedesktop.org/software/systemd/man/systemd -fstab -generator.html  
3. https://www.kernel.org/doc/Documentation/filesystems/tmpfs.txt  
4. NIST SP 800 -53 Rev. 5: CM -7",TRUE,FALSE,TRUE,FALSE,FALSE,1.1.2.1.1,Ensure /tmp is a separate partition,TRUE,9
1.1.2.1.2 Ensure nodev option set on /tmp partition (Automated),"•  Level 1 - Server  
•  Level 1 - Workstation",The nodev  mount option specifies that the filesystem cannot contain special devices.,"Since the /tmp filesystem is not intended to support devices, set this option to ensure 
that users cannot create a block or character special devices in /tmp.","- IF - a separate partition exists for /tmp, verify that the nodev  option is set.  
Run the following command to verify that the nodev  mount option is set.  
Example:  
# findmnt -kn /tmp | grep -v nodev 
 
Nothing should be returned#!/usr/bin/env bash","- IF - a separate partition exists for /tmp. 
Edit the /etc/fstab  file and add nodev  to the fourth field (mounting options) for the /tmp 
partition.  
Example:  
<device> /tmp    <fstype>     defaults,rw,nosuid,nodev,noexec,relatime  0 0  
Run the following command to remount /tmp with the configured options:  
# mount -o remount /tmp#!/usr/bin/env bash","1. See the fstab(5) manual page for more information.  
2. NIST SP 800 -53 Rev. 5: CM -7",TRUE,FALSE,TRUE,FALSE,FALSE,1.1.2.1.2,Ensure nodev option set on /tmp partition,TRUE,10
